,id,first,last,birthday
0,B000944,Sherrod,Brown,1952-11-09
1,C000127,Maria,Cantwell,1958-10-13
2,C000141,Benjamin,Cardin,1943-10-05
3,C000174,Thomas,Carper,1947-01-23
4,C001070,Robert,Casey,1960-04-13
5,F000062,Dianne,Feinstein,1933-06-22
6,K000367,Amy,Klobuchar,1960-05-25
7,M000639,Robert,Menendez,1954-01-01
8,S000033,Bernard,Sanders,1941-09-08
9,S000770,Debbie,Stabenow,1950-04-29
10,T000464,Jon,Tester,1956-08-21
11,W000802,Sheldon,Whitehouse,1955-10-20
12,B001261,John,Barrasso,1952-07-21
13,W000437,Roger,Wicker,1951-07-05
14,A000360,Lamar,Alexander,1940-07-03
15,C001035,Susan,Collins,1952-12-07
16,C001056,John,Cornyn,1952-02-02
17,D000563,Richard,Durbin,1944-11-21
18,E000285,Michael,Enzi,1944-02-01
19,G000359,Lindsey,Graham,1955-07-09
20,I000024,James,Inhofe,1934-11-17
21,M000355,Mitch,McConnell,1942-02-20
22,M001176,Jeff,Merkley,1956-10-24
23,R000122,John,Reed,1949-11-12
24,R000584,James,Risch,1943-05-03
25,R000307,Pat,Roberts,1936-04-20
26,S001181,Jeanne,Shaheen,1947-01-28
27,U000039,Tom,Udall,1948-05-18
28,W000805,Mark,Warner,1954-12-15
29,G000555,Kirsten,Gillibrand,1966-12-09
30,C001088,Chris,Coons,1963-09-09
31,M001183,Joe,Manchin,1947-08-24
32,A000055,Robert,Aderholt,1965-07-22
33,A000367,Justin,Amash,1980-04-18
34,B001230,Tammy,Baldwin,1962-02-11
35,B001270,Karen,Bass,1953-10-03
36,B001267,Michael,Bennet,1964-11-28
37,B001257,Gus,Bilirakis,1963-02-08
38,B001250,Rob,Bishop,1951-07-13
39,B000490,Sanford,Bishop,1947-02-04
40,B001243,Marsha,Blackburn,1952-06-06
41,B000574,Earl,Blumenauer,1948-08-16
42,B001277,Richard,Blumenthal,1946-02-13
43,B000575,Roy,Blunt,1950-01-10
44,B001236,John,Boozman,1950-12-10
45,B000755,Kevin,Brady,1955-04-11
46,B001274,Mo,Brooks,1954-04-29
47,B001260,Vern,Buchanan,1951-05-08
48,B001275,Larry,Bucshon,1962-05-31
49,B001248,Michael,Burgess,1950-12-23
50,B001135,Richard,Burr,1955-11-30
51,B001251,George,Butterfield,1947-04-27
52,C000059,Ken,Calvert,1953-06-08
53,C001047,Shelley,Capito,1953-11-26
54,C001072,André,Carson,1974-10-16
55,C001051,John,Carter,1941-11-06
56,C001075,Bill,Cassidy,1957-09-28
57,C001066,Kathy,Castor,1966-08-20
58,C000266,Steve,Chabot,1953-01-22
59,C001080,Judy,Chu,1953-07-07
60,C001084,David,Cicilline,1961-07-15
61,C001067,Yvette,Clarke,1964-11-21
62,C001049,Wm.,Clay,1956-07-27
63,C001061,Emanuel,Cleaver,1944-10-26
64,C000537,James,Clyburn,1940-07-21
65,C001068,Steve,Cohen,1949-05-24
66,C001053,Tom,Cole,1949-04-28
67,C001062,K.,Conaway,1948-06-11
68,C001078,Gerald,Connolly,1950-03-30
69,C000754,Jim,Cooper,1954-06-19
70,C001059,Jim,Costa,1952-04-13
71,C001069,Joe,Courtney,1953-04-06
72,C000880,Michael,Crapo,1951-05-20
73,C001087,Eric,Crawford,1966-01-22
74,C001063,Henry,Cuellar,1955-09-19
75,D000096,Danny,Davis,1941-09-06
76,D000598,Susan,Davis,1944-04-13
77,D000191,Peter,DeFazio,1947-05-27
78,D000197,Diana,DeGette,1957-07-29
79,D000216,Rosa,DeLauro,1943-03-02
80,D000616,Scott,DesJarlais,1964-02-21
81,D000610,Theodore,Deutch,1966-05-07
82,D000600,Mario,Diaz-Balart,1961-09-25
83,D000399,Lloyd,Doggett,1946-10-06
84,D000482,Michael,Doyle,1953-08-05
85,D000615,Jeff,Duncan,1966-01-07
86,E000179,Eliot,Engel,1947-02-18
87,E000215,Anna,Eshoo,1942-12-13
88,F000459,Charles,Fleischmann,1962-10-11
89,F000461,Bill,Flores,1954-02-25
90,F000449,Jeff,Fortenberry,1960-12-27
91,F000450,Virginia,Foxx,1943-06-29
92,F000455,Marcia,Fudge,1952-10-29
93,G000559,John,Garamendi,1945-01-24
